,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
3327,A Night at the Roxbury,PG-13,Comedy,1998,6.2,58000.0,John Fortenberry,Steve Koren,Chris Kattan,82.0,1990s,60.0,33.0,Broadway Pictures
3329,The X Files,PG-13,Drama,1998,7.0,103000.0,Rob Bowman,Chris Carter,David Duchovny,121.0,1990s,373.0,130.0,Twentieth Century Fox
3330,BASEketball,R,Comedy,1998,6.5,58000.0,David Zucker,David Zucker,Trey Parker,103.0,1990s,14.0,49.0,Zucker Brothers Productions
3331,Six-String Samurai,PG-13,Action,1998,6.6,7000.0,Lance Mungia,Jeffrey Falcon,Jeffrey Falcon,91.0,1990s,0.0,4.0,HSX Films
3334,The Replacement Killers,R,Action,1998,6.2,28000.0,Antoine Fuqua,Ken Sanzel,Chow Yun-Fat,87.0,1990s,38.0,59.0,Columbia Pictures
3337,Bulworth,R,Comedy,1998,6.8,25000.0,Warren Beatty,Warren Beatty,Warren Beatty,108.0,1990s,58.0,59.0,Twentieth Century Fox
3338,Dirty Work,PG-13,Comedy,1998,6.4,24000.0,Bob Saget,Frank Sebastiano,Norm MacDonald,82.0,1990s,20.0,26.0,Metro-Goldwyn-Mayer (MGM)
3339,Apt Pupil,R,Crime,1998,6.7,37000.0,Bryan Singer,Stephen King,Ian McKellen,111.0,1990s,17.0,28.0,Phoenix Pictures
3340,Doctor Dolittle,PG-13,Comedy,1998,5.4,93000.0,Betty Thomas,Hugh Lofting,Eddie Murphy,85.0,1990s,580.0,141.0,Twentieth Century Fox
3342,Celebrity,R,Comedy,1998,6.3,25000.0,Woody Allen,Woody Allen,Kenneth Branagh,113.0,1990s,10.0,24.0,Sweetland Films
3343,Very Bad Things,R,Comedy,1998,6.3,46000.0,Peter Berg,Peter Berg,Christian Slater,100.0,1990s,19.0,59.0,Initial Entertainment Group (IEG)
3345,The Last Days of Disco,R,Comedy,1998,6.7,12000.0,Whit Stillman,Whit Stillman,Chloë Sevigny,113.0,1990s,6.0,16.0,Castle Rock Entertainment
3346,The Big Hit,R,Action,1998,6.1,29000.0,Kirk Wong,Ben Ramsey,Mark Wahlberg,91.0,1990s,53.0,26.0,TriStar Pictures
3347,Blues Brothers 2000,PG-13,Action,1998,4.9,32000.0,John Landis,Dan Aykroyd,Dan Aykroyd,123.0,1990s,28.0,55.0,Universal Pictures
3348,Gods and Monsters,R,Biography,1998,7.4,30000.0,Bill Condon,Christopher Bram,Ian McKellen,105.0,1990s,13.0,20.0,Lions Gate
3349,The Red Violin,R,Drama,1998,7.6,32000.0,François Girard,Don McKellar,Carlo Cecchi,130.0,1990s,20.0,35.0,Rhombus Media
3350,Mighty Joe Young,PG,Action,1998,5.7,28000.0,Ron Underwood,Merian C. Cooper,Bill Paxton,114.0,1990s,100.0,177.0,RKO Pictures
3351,The Object of My Affection,R,Comedy,1998,6.0,19000.0,Nicholas Hytner,Stephen McCauley,Jennifer Aniston,111.0,1990s,92.0,30.0,Twentieth Century Fox
3352,Twilight,R,Crime,1998,6.2,11000.0,Robert Benton,Robert Benton,Paul Newman,94.0,1990s,30.0,73.0,Cinehaus
3353,Pokémon: The First Movie - Mewtwo Strikes Back,G,Animation,1998,6.3,41000.0,Kunihiko Yuyama,Satoshi Tajiri,Veronica Taylor,96.0,1990s,322.0,59.0,Oriental Light and Magic (OLM)
3354,Belly,R,Crime,1998,6.2,10000.0,Hype Williams,Anthony Bodden,Nas,96.0,1990s,19.0,6.0,Big Dog Films
3356,Waking Ned Devine,PG,Comedy,1998,7.4,26000.0,Kirk Jones,Kirk Jones,Ian Bannen,91.0,1990s,109.0,6.0,Tomboy Films
3357,Babe: Pig in the City,PG,Adventure,1998,5.8,32000.0,George Miller,George Miller,Magda Szubanski,97.0,1990s,136.0,177.0,Kennedy Miller Productions
3359,Primary Colors,R,Comedy,1998,6.7,28000.0,Mike Nichols,Joe Klein,John Travolta,143.0,1990s,103.0,128.0,Award Entertainment
3360,Quest for Camelot,G,Animation,1998,6.3,16000.0,Frederik Du Chau,Vera Chapman,Jessalyn Gilsig,86.0,1990s,44.0,79.0,Warner Brothers
3362,Hard Rain,R,Action,1998,5.9,33000.0,Mikael Salomon,Graham Yost,Morgan Freeman,97.0,1990s,39.0,138.0,BBC
3367,Simon Birch,PG,Comedy,1998,6.9,21000.0,Mark Steven Johnson,Mark Steven Johnson,Ian Michael Smith,114.0,1990s,36.0,59.0,Hollywood Pictures
3372,Jack Frost,PG,Comedy,1998,5.4,34000.0,Troy Miller,Mark Steven Johnson,Michael Keaton,101.0,1990s,68.0,167.0,Warner Brothers
3373,Hush,PG-13,Drama,1998,5.5,11000.0,Jonathan Darby,Jonathan Darby,Jessica Lange,96.0,1990s,27.0,41.0,TriStar Pictures
3374,How Stella Got Her Groove Back,R,Comedy,1998,5.7,7100.0,Kevin Rodney Sullivan,Terry McMillan,Angela Bassett,124.0,1990s,77.0,39.0,Twentieth Century Fox
3375,Almost Heroes,PG-13,Adventure,1998,5.8,16000.0,Christopher Guest,Mark Nutter,Chris Farley,90.0,1990s,12.0,59.0,Turner Pictures (I)
3376,Major League: Back to the Minors,PG-13,Comedy,1998,4.7,7200.0,John Warren,David S. Ward,Scott Bakula,100.0,1990s,7.0,35.0,Morgan Creek Entertainment
3378,A Civil Action,PG-13,Drama,1998,6.6,28000.0,Steven Zaillian,Jonathan Harr,John Travolta,115.0,1990s,112.0,148.0,Touchstone Pictures
3379,Playing by Heart,R,Comedy,1998,7.0,19000.0,Willard Carroll,Willard Carroll,Gillian Anderson,121.0,1990s,8.0,39.0,Hyperion Pictures
3380,The Rugrats Movie,G,Animation,1998,5.9,18000.0,Igor Kovalyov,David N. Weiss,Elizabeth Daily,79.0,1990s,278.0,47.0,Paramount Pictures
3381,The Players Club,R,Comedy,1998,5.9,6400.0,Ice Cube,Ice Cube,LisaRaye McCoy,104.0,1990s,46.0,9.0,New Line Cinema
3382,Dead Man on Campus,R,Comedy,1998,6.0,14000.0,Alan Cohn,Anthony Abrams,Tom Everett Scott,96.0,1990s,30.0,28.0,Paramount Pictures
3383,Senseless,R,Comedy,1998,6.1,14000.0,Penelope Spheeris,Greg Erb,Marlon Wayans,93.0,1990s,25.0,30.0,Dimension Films
3384,Black Dog,PG-13,Action,1998,5.4,8600.0,Kevin Hooks,William Mickelberry,Patrick Swayze,89.0,1990s,26.0,59.0,Universal Pictures
3385,Dangerous Beauty,R,Biography,1998,7.2,16000.0,Marshall Herskovitz,Margaret Rosenthal,Catherine McCormack,111.0,1990s,9.0,16.0,New Regency Productions
3386,The Newton Boys,PG-13,Action,1998,6.1,11000.0,Richard Linklater,Claude Stanush,Matthew McConaughey,122.0,1990s,21.0,53.0,Twentieth Century Fox
3387,Central Station,R,Drama,1998,8.0,37000.0,Walter Salles,Marcos Bernstein,Fernanda Montenegro,110.0,1990s,12.0,6.0,"Audiovisual Development Bureau, Ministerio da Cultura"
3389,Without Limits,PG-13,Biography,1998,7.2,6700.0,Robert Towne,Robert Towne,Billy Crudup,117.0,1990s,2.0,49.0,Cruise/Wagner Productions
3390,Wide Awake,PG,Comedy,1998,5.9,3900.0,M. Night Shyamalan,M. Night Shyamalan,Joseph Cross,88.0,1990s,1.0,12.0,Miramax
3392,Mafia!,PG-13,Comedy,1998,5.6,15000.0,Jim Abrahams,Jim Abrahams,Jay Mohr,87.0,1990s,39.0,20.0,Tapestry Films
3393,Desperate Measures,R,Action,1998,6.1,16000.0,Barbet Schroeder,David Klass,Michael Keaton,100.0,1990s,27.0,98.0,Mandalay
3398,Beloved,R,Drama,1998,6.0,7200.0,Jonathan Demme,Toni Morrison,Oprah Winfrey,172.0,1990s,45.0,158.0,Harpo Films
3401,One True Thing,R,Drama,1998,7.0,12000.0,Carl Franklin,Anna Quindlen,Meryl Streep,127.0,1990s,52.0,59.0,Monarch Pictures
3402,Firestorm,R,Action,1998,4.8,3800.0,Dean Semler,Chris Soth,Howie Long,89.0,1990s,16.0,37.0,Twentieth Century Fox
3403,Slums of Beverly Hills,R,Comedy,1998,6.6,12000.0,Tamara Jenkins,Tamara Jenkins,Natasha Lyonne,91.0,1990s,11.0,10.0,Fox Searchlight Pictures
3405,Strangeland,R,Horror,1998,5.1,6700.0,John Pieplow,Dee Snider,Kevin Gage,85.0,1990s,1.0,2.0,Shooting Gallery
3407,Paulie,PG,Adventure,1998,6.5,15000.0,John Roberts,Laurie Craig,Gena Rowlands,91.0,1990s,53.0,45.0,DreamWorks
3409,Barney's Great Adventure,G,Adventure,1998,3.2,3200.0,Steve Gomer,Stephen White,George Hearn,76.0,1990s,24.0,30.0,Polygram Filmed Entertainment
3411,Meet the Deedles,PG,Comedy,1998,4.1,2700.0,Steve Boyum,Jim Herzfeld,Paul Walker,93.0,1990s,9.0,47.0,DIC Entertainment
3412,The Gingerbread Man,R,Crime,1998,5.7,11000.0,Robert Altman,John Grisham,Kenneth Branagh,114.0,1990s,3.0,49.0,Enchanter Entertainment
3413,Savior,R,Drama,1998,7.3,11000.0,Predrag Antonijevic,Robert Orr,Dennis Quaid,103.0,1990s,0.0,20.0,Initial Entertainment Group (IEG)
3418,Clay Pigeons,R,Comedy,1998,6.6,11000.0,David Dobkin,Matthew L. Healy,Joaquin Phoenix,104.0,1990s,4.0,16.0,Fade In Films
3419,Knock Off,R,Action,1998,4.9,14000.0,Hark Tsui,Steven E. de Souza,Jean-Claude Van Damme,91.0,1990s,20.0,59.0,Knock Films A.V.V.
3420,I'll Be Home for Christmas,PG,Comedy,1998,5.5,9600.0,Arlene Sanford,Tom Nursall,Jonathan Taylor Thomas,86.0,1990s,24.0,59.0,Walt Disney
3423,Ringmaster,R,Comedy,1998,3.2,4900.0,Neil Abramson,Jon Bernstein,Jerry Springer,90.0,1990s,18.0,39.0,Artisan Entertainment
3426,Another Day in Paradise,R,Crime,1998,6.5,8400.0,Larry Clark,Eddie Little,James Woods,101.0,1990s,2.0,9.0,Chinese Bookie Pictures
3434,Holy Man,PG,Comedy,1998,4.9,19000.0,Stephen Herek,Tom Schulman,Eddie Murphy,114.0,1990s,24.0,118.0,Caravan Pictures
3435,Your Friends and Neighbors,R,Comedy,1998,6.3,7800.0,Neil LaBute,Neil LaBute,Amy Brenneman,100.0,1990s,9.0,10.0,Polygram Filmed Entertainment
3436,Zero Effect,R,Comedy,1998,6.9,14000.0,Jake Kasdan,Jake Kasdan,Bill Pullman,116.0,1990s,4.0,10.0,Castle Rock Entertainment
3440,Hurlyburly,R,Comedy,1998,5.9,9800.0,Anthony Drazan,David Rabe,Sean Penn,122.0,1990s,4.0,30.0,FilmColony
3441,Home Fries,PG-13,Comedy,1998,5.1,8200.0,Dean Parisot,Vince Gilligan,Drew Barrymore,91.0,1990s,21.0,69.0,Baltimore Pictures
3443,The Matrix,R,Action,1999,8.7,1700000.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,136.0,1990s,900.0,122.0,Warner Brothers
3444,Fight Club,R,Drama,1999,8.8,1900000.0,David Fincher,Chuck Palahniuk,Brad Pitt,139.0,1990s,195.0,122.0,Fox 2000 Pictures
3445,The Talented Mr. Ripley,R,Crime,1999,7.4,189000.0,Anthony Minghella,Patricia Highsmith,Matt Damon,139.0,1990s,249.0,77.0,Miramax
3447,The Mummy,PG-13,Action,1999,7.0,401000.0,Stephen Sommers,Stephen Sommers,Brendan Fraser,124.0,1990s,803.0,154.0,Universal Pictures
3448,American Pie,R,Comedy,1999,7.0,385000.0,Paul Weitz,Adam Herz,Jason Biggs,95.0,1990s,454.0,21.0,Universal Pictures
3449,The Green Mile,R,Crime,1999,8.6,1200000.0,Frank Darabont,Stephen King,Tom Hanks,189.0,1990s,554.0,116.0,Castle Rock Entertainment
3450,American Beauty,R,Drama,1999,8.3,1100000.0,Sam Mendes,Alan Ball,Kevin Spacey,122.0,1990s,688.0,29.0,DreamWorks
3451,Star Wars: Episode I - The Phantom Menace,PG,Action,1999,6.5,748000.0,George Lucas,George Lucas,Ewan McGregor,136.0,1990s,1982.0,222.0,Luscasfilm
3452,10 Things I Hate About You,PG-13,Comedy,1999,7.3,309000.0,Gil Junger,Karen McCullah,Heath Ledger,97.0,1990s,103.0,58.0,Touchstone Pictures
3453,The Sixth Sense,PG-13,Drama,1999,8.1,930000.0,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,107.0,1990s,1299.0,77.0,Hollywood Pictures
3454,Austin Powers: the Spy Who Shagged Me,PG-13,Action,1999,6.6,221000.0,Jay Roach,Mike Myers,Mike Myers,95.0,1990s,602.0,64.0,New Line Cinema
3455,Office Space,R,Comedy,1999,7.7,248000.0,Mike Judge,Mike Judge,Ron Livingston,89.0,1990s,21.0,19.0,Twentieth Century Fox
3456,Galaxy Quest,PG,Adventure,1999,7.3,155000.0,Dean Parisot,David Howard,Tim Allen,102.0,1990s,175.0,87.0,DreamWorks
3457,Notting Hill,PG-13,Comedy,1999,7.1,286000.0,Roger Michell,Richard Curtis,Hugh Grant,124.0,1990s,702.0,81.0,Polygram Filmed Entertainment
3458,Cruel Intentions,R,Drama,1999,6.8,183000.0,Roger Kumble,Choderlos de Laclos,Sarah Michelle Gellar,97.0,1990s,147.0,20.0,Columbia Pictures
3459,The Blair Witch Project,R,Horror,1999,6.5,239000.0,Daniel Myrick,Daniel Myrick,Heather Donahue,81.0,1990s,480.0,0.0,Haxan Films
3460,The Virgin Suicides,R,Drama,1999,7.2,147000.0,Sofia Coppola,Jeffrey Eugenides,Kirsten Dunst,97.0,1990s,20.0,17.0,American Zoetrope
3461,Magnolia,R,Drama,1999,8.0,295000.0,Paul Thomas Anderson,Paul Thomas Anderson,Tom Cruise,188.0,1990s,94.0,71.0,Ghoulardi Film Company
3462,"Girl, Interrupted",R,Biography,1999,7.3,169000.0,James Mangold,Susanna Kaysen,Winona Ryder,127.0,1990s,93.0,77.0,Columbia Pictures
3463,Stuart Little,PG,Adventure,1999,5.9,128000.0,Rob Minkoff,E.B. White,Michael J. Fox,84.0,1990s,579.0,257.0,Columbia Pictures
3464,Deep Blue Sea,R,Action,1999,5.9,127000.0,Renny Harlin,Duncan Kennedy,Thomas Jane,105.0,1990s,318.0,116.0,Warner Brothers
3466,Varsity Blues,R,Comedy,1999,6.5,43000.0,Brian Robbins,W. Peter Iliff,James Van Der Beek,106.0,1990s,105.0,31.0,MTV Films
3467,She's All That,PG-13,Comedy,1999,5.9,86000.0,Robert Iscove,R. Lee Fleming Jr.,Freddie Prinze Jr.,95.0,1990s,199.0,19.0,Miramax
3468,Sleepy Hollow,R,Fantasy,1999,7.3,338000.0,Tim Burton,Washington Irving,Johnny Depp,105.0,1990s,398.0,193.0,Paramount Pictures
3469,Lake Placid,R,Action,1999,5.7,56000.0,Steve Miner,David E. Kelley,Bridget Fonda,82.0,1990s,110.0,68.0,Fox 2000 Pictures
3470,Toy Story 2,G,Animation,1999,7.9,540000.0,John Lasseter,John Lasseter,Tom Hanks,92.0,1990s,960.0,174.0,Pixar Animation Studios
3471,Dogma,R,Adventure,1999,7.3,210000.0,Kevin Smith,Kevin Smith,Ben Affleck,130.0,1990s,61.0,19.0,View Askew Productions
3472,Tarzan,G,Animation,1999,7.3,210000.0,Chris Buck,Tab Murphy,Tony Goldwyn,88.0,1990s,865.0,251.0,Walt Disney
3473,Election,R,Comedy,1999,7.2,92000.0,Alexander Payne,Tom Perrotta,Matthew Broderick,103.0,1990s,29.0,48.0,Bona Fide Productions
3474,Being John Malkovich,R,Comedy,1999,7.7,319000.0,Spike Jonze,Charlie Kaufman,John Cusack,113.0,1990s,45.0,25.0,Astralwerks
3475,The Iron Giant,PG,Animation,1999,8.0,177000.0,Brad Bird,Tim McCanlies,Eli Marienthal,86.0,1990s,45.0,135.0,Warner Brothers
3476,The World Is Not Enough,PG-13,Action,1999,6.4,191000.0,Michael Apted,Neal Purvis,Pierce Brosnan,128.0,1990s,698.0,261.0,Danjaq
3478,Mystery Men,PG-13,Action,1999,6.1,64000.0,Kinka Usher,Neil Cuthbert,Ben Stiller,121.0,1990s,65.0,131.0,Universal Pictures
3479,Wild Wild West,PG-13,Action,1999,4.9,155000.0,Barry Sonnenfeld,Jim Thomas,Will Smith,106.0,1990s,429.0,328.0,Peters Entertainment
3480,Big Daddy,PG-13,Comedy,1999,6.4,205000.0,Dennis Dugan,Steve Franks,Adam Sandler,93.0,1990s,453.0,66.0,Jack Giarraputo Productions
3481,The Ninth Gate,R,Mystery,1999,6.7,172000.0,Roman Polanski,Arturo Pérez-Reverte,Johnny Depp,133.0,1990s,113.0,73.0,Artisan Entertainment
3482,Double Jeopardy,R,Crime,1999,6.5,78000.0,Bruce Beresford,David Weisberg,Ashley Judd,105.0,1990s,343.0,135.0,Paramount Pictures
3483,The Insider,R,Biography,1999,7.8,163000.0,Michael Mann,Marie Brenner,Russell Crowe,157.0,1990s,116.0,174.0,Touchstone Pictures
3484,Deuce Bigalow: Male Gigolo,R,Comedy,1999,5.7,72000.0,Mike Mitchell,Harris Goldberg,Rob Schneider,88.0,1990s,179.0,33.0,Happy Madison Productions
3485,The 13th Warrior,R,Action,1999,6.6,119000.0,John McTiernan,Michael Crichton,Antonio Banderas,102.0,1990s,119.0,309.0,Touchstone Pictures
3486,Life,R,Comedy,1999,6.8,47000.0,Ted Demme,Robert Ramsey,Eddie Murphy,108.0,1990s,142.0,154.0,Imagine Entertainment
3487,End of Days,R,Action,1999,5.8,107000.0,Peter Hyams,Andrew W. Marlowe,Arnold Schwarzenegger,122.0,1990s,409.0,193.0,Beacon Communications
3488,The Thomas Crown Affair,R,Crime,1999,6.9,89000.0,John McTiernan,Alan Trustman,Pierce Brosnan,113.0,1990s,240.0,93.0,United Artists
3489,Drop Dead Gorgeous,PG-13,Comedy,1999,6.6,34000.0,Michael Patrick Jann,Lona Williams,Kirsten Dunst,97.0,1990s,20.0,29.0,New Line Cinema
3490,Boys Don't Cry,R,Biography,1999,7.5,94000.0,Kimberly Peirce,Kimberly Peirce,Hilary Swank,118.0,1990s,22.0,4.0,Fox Searchlight Pictures
3491,8MM,R,Crime,1999,6.5,127000.0,Joel Schumacher,Andrew Kevin Walker,Nicolas Cage,123.0,1990s,186.0,77.0,Columbia Pictures
3492,House on Haunted Hill,R,Crime,1999,5.6,54000.0,William Malone,Robb White,Geoffrey Rush,93.0,1990s,82.0,71.0,Dark Castle Entertainment
3493,But I'm a Cheerleader,R,Comedy,1999,6.7,29000.0,Jamie Babbit,Brian Peterson,Natasha Lyonne,85.0,1990s,5.0,2.0,Cheerleader LLC
