,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
3494,Never Been Kissed,PG-13,Comedy,1999,6.1,85000.0,Raja Gosnell,Abby Kohn,Drew Barrymore,107.0,1990s,163.0,48.0,Fox 2000 Pictures
3495,Jawbreaker,R,Comedy,1999,5.6,25000.0,Darren Stein,Darren Stein,Rose McGowan,87.0,1990s,6.0,7.0,Crossroads Films
3496,The Bone Collector,R,Crime,1999,6.7,159000.0,Phillip Noyce,Jeffery Deaver,Denzel Washington,118.0,1990s,292.0,141.0,Columbia Pictures
3497,Any Given Sunday,R,Drama,1999,6.9,114000.0,Oliver Stone,Daniel Pyne,Al Pacino,162.0,1990s,193.0,106.0,Warner Brothers
3498,A Walk on the Moon,R,Drama,1999,6.6,8100.0,Tony Goldwyn,Pamela Gray,Diane Lane,107.0,1990s,9.0,27.0,Miramax
3499,Summer of Sam,R,Crime,1999,6.7,37000.0,Spike Lee,Spike Lee,John Leguizamo,142.0,1990s,37.0,42.0,Touchstone Pictures
3500,The Cider House Rules,PG-13,Drama,1999,7.4,95000.0,Lasse Hallström,John Irving,Tobey Maguire,126.0,1990s,171.0,46.0,FilmColony
3501,October Sky,PG,Biography,1999,7.8,85000.0,Joe Johnston,Homer H. Hickam Jr.,Jake Gyllenhaal,108.0,1990s,67.0,48.0,Universal Pictures
3502,The Haunting,PG-13,Fantasy,1999,5.0,73000.0,Jan de Bont,David Self,Liam Neeson,113.0,1990s,342.0,154.0,DreamWorks
3503,eXistenZ,R,Horror,1999,6.8,96000.0,David Cronenberg,David Cronenberg,Jude Law,97.0,1990s,6.0,29.0,Dimension Films
3504,For Love of the Game,PG-13,Drama,1999,6.6,33000.0,Sam Raimi,Michael Shaara,Kevin Costner,137.0,1990s,89.0,154.0,Universal Pictures
3505,Bringing Out the Dead,R,Drama,1999,6.8,65000.0,Martin Scorsese,Joe Connelly,Nicolas Cage,121.0,1990s,32.0,106.0,De Fina-Cappa
3506,Three Kings,R,Action,1999,7.1,163000.0,David O. Russell,John Ridley,George Clooney,114.0,1990s,208.0,145.0,Warner Brothers
3507,Go,R,Comedy,1999,7.2,68000.0,Doug Liman,John August,Sarah Polley,102.0,1990s,55.0,39.0,Columbia Pictures
3508,Payback,R,Action,1999,7.1,133000.0,Brian Helgeland,Donald E. Westlake,Mel Gibson,100.0,1990s,312.0,174.0,Icon Entertainment International
3509,"South Park: Bigger, Longer & Uncut",R,Animation,1999,7.7,195000.0,Trey Parker,Trey Parker,Trey Parker,81.0,1990s,160.0,41.0,Scott Rudin Productions
3511,Idle Hands,R,Comedy,1999,6.2,41000.0,Rodman Flender,Terri Hughes Burton,Devon Sawa,92.0,1990s,8.0,48.0,Columbia Pictures
3512,Bowfinger,PG-13,Comedy,1999,6.4,68000.0,Frank Oz,Steve Martin,Steve Martin,97.0,1990s,190.0,106.0,Universal Pictures
3513,Detroit Rock City,R,Comedy,1999,6.9,36000.0,Adam Rifkin,Carl V. Dupré,Edward Furlong,95.0,1990s,8.0,66.0,New Line Cinema
3514,The General's Daughter,R,Crime,1999,6.4,55000.0,Simon West,Nelson DeMille,John Travolta,116.0,1990s,289.0,183.0,Paramount Pictures
3515,The Messenger: The Story of Joan of Arc,R,Adventure,1999,6.4,65000.0,Luc Besson,Andrew Birkin,Milla Jovovich,148.0,1990s,129.0,164.0,Columbia Pictures
3516,Man on the Moon,R,Biography,1999,7.4,126000.0,Milos Forman,Scott Alexander,Jim Carrey,118.0,1990s,92.0,158.0,Universal Pictures
3518,Ravenous,R,Adventure,1999,7.0,38000.0,Antonia Bird,Ted Griffin,Guy Pearce,101.0,1990s,4.0,23.0,ETIC Films
3519,Entrapment,PG-13,Action,1999,6.3,110000.0,Jon Amiel,Ronald Bass,Sean Connery,113.0,1990s,410.0,127.0,Twentieth Century Fox
3521,Stir of Echoes,R,Horror,1999,7.0,77000.0,David Koepp,Richard Matheson,Kevin Bacon,99.0,1990s,41.0,23.0,Artisan Entertainment
3524,Teaching Mrs. Tingle,PG-13,Comedy,1999,5.3,20000.0,Kevin Williamson,Kevin Williamson,Helen Mirren,96.0,1990s,17.0,25.0,Miramax
3525,Bicentennial Man,PG,Comedy,1999,6.9,112000.0,Chris Columbus,Isaac Asimov,Robin Williams,132.0,1990s,169.0,193.0,1492 Pictures
3526,Runaway Bride,PG,Comedy,1999,5.6,95000.0,Garry Marshall,Josann McGibbon,Julia Roberts,116.0,1990s,597.0,135.0,Paramount Pictures
3527,The Thirteenth Floor,R,Mystery,1999,7.1,69000.0,Josef Rusnak,Daniel F. Galouye,Craig Bierko,100.0,1990s,36.0,31.0,Columbia Pictures
3528,Inspector Gadget,PG,Action,1999,4.2,46000.0,David Kellogg,Andy Heyward,Matthew Broderick,78.0,1990s,259.0,174.0,Walt Disney
3529,Arlington Road,R,Action,1999,7.2,83000.0,Mark Pellington,Ehren Kruger,Jeff Bridges,117.0,1990s,79.0,60.0,Screen Gems
3530,The Hurricane,R,Biography,1999,7.6,93000.0,Norman Jewison,Rubin 'Hurricane' Carter,Denzel Washington,146.0,1990s,143.0,96.0,Azoff Entertainment
3532,Drive Me Crazy,PG-13,Comedy,1999,5.8,19000.0,John Schultz,Todd Strasser,Melissa Joan Hart,91.0,1990s,44.0,16.0,Twentieth Century Fox
3533,Blue Streak,PG-13,Action,1999,6.3,77000.0,Les Mayfield,Michael Berry,Martin Lawrence,93.0,1990s,227.0,125.0,Columbia Pictures
